problem,dim,algorithm,runs,best,median,mean,std,worst,mean_error,success_rate,median_evals_to_target,mean_evaluations,mean_seconds
rastrigin_2d,2,CDA,30,2.153022649054037e-09,0.8983331685980573,0.6621358340183705,0.552168634806119,1.991203906332501,0.6621358340183705,0.1,755.0,736.3,0.0011290316333239995
rastrigin_2d,2,CDA (tuned),30,1.3786792941061776e-05,0.03471472951401111,0.04628910653378604,0.0547340949573586,0.27662423129652325,0.04628910653378604,0.03333333333333333,1699.0,10000.0,0.005248327933319767
rastrigin_2d,2,DE,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2700.0,10000.0,0.012471814900012153
rastrigin_2d,2,GA,30,0.0,0.0,0.0005137139378462053,0.0023554393749854142,0.012743488013889248,0.0005137139378462053,0.9,1050.0,10000.0,0.010919389099975281
rastrigin_2d,2,PSO,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2475.0,10000.0,0.006773817699983435
rastrigin_2d,2,Random,30,0.047303380312474275,0.6340431540380536,0.6092783918521983,0.36744923822173653,1.185423799003793,0.6092783918521983,0.0,nan,10000.0,0.00412104846661047
rastrigin_30d,30,CDA,30,192.72727958811947,247.8465435113255,244.25244543377028,25.20723280278012,295.67625506739193,244.25244543377028,0.0,nan,2215.9666666666667,0.003998069599977801
rastrigin_30d,30,CDA (tuned),30,62.84180603246625,113.93707478005919,115.01810723699438,17.5038282233934,146.31963355391233,115.01810723699438,0.0,nan,60000.0,0.12353665716676308
rastrigin_30d,30,DE,30,77.80770797807205,131.3135262108382,135.37999509664022,32.880808770373754,197.85495301948362,135.37999509664022,0.0,nan,60000.0,0.10947528713340944
rastrigin_30d,30,GA,30,0.0021590815139802544,0.010537697973433069,0.015782545502520406,0.013095926698193868,0.05677139983430379,0.015782545502520406,0.0,nan,60000.0,0.11061678813324155
